Category: All categories

Month,cyber security: (Worldwide)
2004-01,7
2004-02,15
2004-03,5
2004-04,4
2004-05,7
2004-06,9
2004-07,5
2004-08,3
2004-09,5
2004-10,9
2004-11,6
2004-12,9
2005-01,7
2005-02,10
2005-03,4
2005-04,5
2005-05,4
2005-06,7
2005-07,7
2005-08,7
2005-09,3
2005-10,5
2005-11,4
2005-12,5
2006-01,2
2006-02,2
2006-03,5
2006-04,7
2006-05,5
2006-06,3
2006-07,3
2006-08,4
2006-09,6
2006-10,3
2006-11,5
2006-12,5
2007-01,5
2007-02,3
2007-03,5
2007-04,6
2007-05,4
2007-06,4
2007-07,7
2007-08,3
2007-09,3
2007-10,6
2007-11,3
2007-12,2
2008-01,5
2008-02,4
2008-03,3
2008-04,5
2008-05,4
2008-06,5
2008-07,4
2008-08,5
2008-09,6
2008-10,6
2008-11,5
2008-12,5
2009-01,5
2009-02,8
2009-03,7
2009-04,8
2009-05,9
2009-06,10
2009-07,8
2009-08,6
2009-09,7
2009-10,53
2009-11,59
2009-12,11
2010-01,9
2010-02,9
2010-03,11
2010-04,10
2010-05,8
2010-06,7
2010-07,12
2010-08,11
2010-09,11
2010-10,10
2010-11,10
2010-12,10
2011-01,10
2011-02,12
2011-03,9
2011-04,8
2011-05,9
2011-06,11
2011-07,9
2011-08,9
2011-09,10
2011-10,11
2011-11,9
2011-12,9
2012-01,10
2012-02,11
2012-03,10
2012-04,10
2012-05,10
2012-06,10
2012-07,10
2012-08,14
2012-09,12
2012-10,14
2012-11,13
2012-12,9
2013-01,11
2013-02,18
2013-03,16
2013-04,18
2013-05,16
2013-06,16
2013-07,18
2013-08,16
2013-09,16
2013-10,20
2013-11,17
2013-12,16
2014-01,17
2014-02,19
2014-03,19
2014-04,17
2014-05,17
2014-06,18
2014-07,18
2014-08,19
2014-09,24
2014-10,22
2014-11,21
2014-12,21
2015-01,26
2015-02,29
2015-03,28
2015-04,31
2015-05,26
2015-06,31
2015-07,31
2015-08,28
2015-09,31
2015-10,34
2015-11,35
2015-12,29
2016-01,31
2016-02,34
2016-03,35
2016-04,35
2016-05,31
2016-06,35
2016-07,30
2016-08,32
2016-09,38
2016-10,44
2016-11,43
2016-12,36
2017-01,45
2017-02,46
2017-03,47
2017-04,43
2017-05,53
2017-06,48
2017-07,46
2017-08,50
2017-09,52
2017-10,58
2017-11,59
2017-12,47
2018-01,55
2018-02,53
2018-03,51
2018-04,57
2018-05,57
2018-06,53
2018-07,55
2018-08,60
2018-09,64
2018-10,71
2018-11,69
2018-12,69
2019-01,76
2019-02,83
2019-03,85
2019-04,75
2019-05,81
2019-06,76
2019-07,78
2019-08,79
2019-09,84
2019-10,86
2019-11,87
2019-12,79
2020-01,89
2020-02,87
2020-03,73
2020-04,75
2020-05,75
2020-06,82
2020-07,84
2020-08,83
2020-09,84
2020-10,83
2020-11,76
2020-12,75
2021-01,75
2021-02,79
2021-03,79
2021-04,81
2021-05,89
2021-06,92
2021-07,89
2021-08,93
2021-09,100
