Category: All categories

Month,phishing: (Worldwide)
2004-01,10
2004-02,14
2004-03,12
2004-04,17
2004-05,27
2004-06,32
2004-07,31
2004-08,60
2004-09,33
2004-10,62
2004-11,53
2004-12,46
2005-01,62
2005-02,76
2005-03,61
2005-04,73
2005-05,77
2005-06,82
2005-07,62
2005-08,61
2005-09,66
2005-10,70
2005-11,76
2005-12,70
2006-01,66
2006-02,62
2006-03,69
2006-04,57
2006-05,50
2006-06,48
2006-07,56
2006-08,51
2006-09,71
2006-10,70
2006-11,64
2006-12,74
2007-01,77
2007-02,69
2007-03,68
2007-04,62
2007-05,58
2007-06,58
2007-07,56
2007-08,57
2007-09,65
2007-10,64
2007-11,66
2007-12,63
2008-01,60
2008-02,64
2008-03,58
2008-04,69
2008-05,55
2008-06,65
2008-07,53
2008-08,54
2008-09,52
2008-10,66
2008-11,60
2008-12,56
2009-01,63
2009-02,62
2009-03,54
2009-04,52
2009-05,64
2009-06,53
2009-07,50
2009-08,48
2009-09,53
2009-10,79
2009-11,64
2009-12,46
2010-01,54
2010-02,55
2010-03,64
2010-04,58
2010-05,47
2010-06,52
2010-07,49
2010-08,49
2010-09,54
2010-10,47
2010-11,50
2010-12,46
2011-01,51
2011-02,51
2011-03,64
2011-04,51
2011-05,57
2011-06,57
2011-07,47
2011-08,51
2011-09,54
2011-10,54
2011-11,56
2011-12,52
2012-01,53
2012-02,64
2012-03,55
2012-04,60
2012-05,59
2012-06,52
2012-07,47
2012-08,53
2012-09,52
2012-10,58
2012-11,52
2012-12,43
2013-01,53
2013-02,53
2013-03,51
2013-04,53
2013-05,55
2013-06,53
2013-07,47
2013-08,47
2013-09,52
2013-10,55
2013-11,52
2013-12,52
2014-01,52
2014-02,60
2014-03,56
2014-04,54
2014-05,57
2014-06,51
2014-07,52
2014-08,51
2014-09,64
2014-10,62
2014-11,62
2014-12,54
2015-01,56
2015-02,55
2015-03,56
2015-04,54
2015-05,56
2015-06,54
2015-07,50
2015-08,51
2015-09,59
2015-10,56
2015-11,55
2015-12,50
2016-01,45
2016-02,45
2016-03,52
2016-04,53
2016-05,50
2016-06,47
2016-07,38
2016-08,44
2016-09,49
2016-10,53
2016-11,56
2016-12,48
2017-01,59
2017-02,54
2017-03,57
2017-04,51
2017-05,77
2017-06,51
2017-07,45
2017-08,47
2017-09,56
2017-10,60
2017-11,62
2017-12,54
2018-01,53
2018-02,54
2018-03,55
2018-04,59
2018-05,59
2018-06,52
2018-07,56
2018-08,58
2018-09,61
2018-10,66
2018-11,62
2018-12,56
2019-01,66
2019-02,67
2019-03,62
2019-04,58
2019-05,58
2019-06,56
2019-07,55
2019-08,57
2019-09,69
2019-10,74
2019-11,72
2019-12,64
2020-01,72
2020-02,76
2020-03,79
2020-04,100

